City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ribeira Grande,40,PT,<class 'datetime.date'>,68,38.52,-28.7,292.15,4.6
Ushuaia,75,AR,<class 'datetime.date'>,87,-54.81,-68.31,279.15,6.2
Angoram,100,PG,<class 'datetime.date'>,98,-4.06,144.07,296.62,0.63
Mar del Plata,0,AR,<class 'datetime.date'>,32,-46.43,-67.52,291.62,4.19
Acapulco,5,MX,<class 'datetime.date'>,66,16.86,-99.88,302.15,3.6
Carbondale,1,US,<class 'datetime.date'>,34,38.82,-95.69,301.15,15.4
Adrar,0,DZ,<class 'datetime.date'>,14,27.87,-0.29,300.15,8.7
Pyaozerskiy,100,RU,<class 'datetime.date'>,83,65.83,31.17,277.92,6.42
Marzuq,93,YE,<class 'datetime.date'>,42,14.4,46.47,301.42,3.34
Cherskiy,12,RU,<class 'datetime.date'>,78,68.75,161.3,257.42,1.75
Saskylakh,100,RU,<class 'datetime.date'>,97,71.97,114.09,260.02,3.98
Barranca,88,PE,<class 'datetime.date'>,95,-10.75,-77.76,292.92,4.64
Pevek,10,RU,<class 'datetime.date'>,99,69.7,170.27,252.92,2.53
Lompoc,1,US,<class 'datetime.date'>,55,34.64,-120.46,292.59,6.7
Vaini,0,IN,<class 'datetime.date'>,76,15.34,74.49,298.02,0.8
Thompson,90,CA,<class 'datetime.date'>,86,55.74,-97.86,270.15,1.5
Coquimbo,40,CL,<class 'datetime.date'>,72,-29.95,-71.34,289.15,4.6
Terney,0,RU,<class 'datetime.date'>,45,45.05,136.61,275.82,2.55
Chunoyar,54,RU,<class 'datetime.date'>,84,57.45,97.32,267.52,3.95
Khatanga,82,RU,<class 'datetime.date'>,99,71.98,102.47,251.62,1.46
Alofi,72,NU,<class 'datetime.date'>,73,-19.06,-169.92,297.15,6.2
Makakilo City,75,US,<class 'datetime.date'>,73,21.35,-158.09,298.15,2.1
Klaksvik,100,FO,<class 'datetime.date'>,100,62.23,-6.59,281.15,6.7
Carnarvon,0,ZA,<class 'datetime.date'>,45,-30.97,22.13,287.52,12.06
Vallenar,3,CL,<class 'datetime.date'>,36,-28.58,-70.76,295.92,3.34
Hithadhoo,100,MV,<class 'datetime.date'>,77,-0.6,73.08,301.62,7.12
Lagoa,0,PT,<class 'datetime.date'>,77,37.14,-8.45,292.59,3.6
Nerchinskiy Zavod,39,RU,<class 'datetime.date'>,28,51.31,119.61,270.92,0.61
Esperance,75,TT,<class 'datetime.date'>,62,10.24,-61.45,303.71,9.3
Ismailia,0,EG,<class 'datetime.date'>,45,30.6,32.27,289.02,6.4
Les Cayes,7,HT,<class 'datetime.date'>,71,18.19,-73.75,300.52,6.42
